alpha,beta,mu_lat,var_lat,c,d,k_1,k_2,stb_1,stb_2,mu_1,mu_2,p_ber
0.0002,2.61111,2,2.26109,4.06501,2,0.11532,10,1,1,0.0001,5e-05,0.05
0.000258984,1.56006,2.44247,2.26109,4.00057,2,0.223107,10,1,1,0.0001,5.29388e-05,0.05
0.000296572,1.56006,2.44247,2.26109,4.05319,2,0.24064,10,1,1,0.0001,5.86929e-05,0.05
0.000296572,1.56006,2.25962,2.26109,3.12789,2,0.24064,10,1,1,0.0001,5.86929e-05,0.05
0.000296572,1.56006,3.21714,2.59423,3.28978,2,0.267689,10,1,1,0.0001,5.86929e-05,0.0505289
0.00108238,1.56006,2.00192,2.59423,2.99093,2,0.260474,10,1,1,0.000139077,6.16139e-05,0.049688
0.00148904,1.56006,2.00192,2.59423,2.95243,2,0.281317,10,1,1,0.000150319,6.91116e-05,0.049688
0.000794154,1.56006,1.81438,2.64521,2.95243,2,0.313976,10,1,1,0.000152844,6.96225e-05,0.0447048
0.000939388,1.56006,1.81438,2.53739,2.95243,2,0.280921,10,1,1,0.000152844,7.04134e-05,0.0348369
0.00176095,1.33292,1.81438,2.90699,2.85138,2,0.324509,10,1,1,0.000152844,7.04134e-05,0.0348369
0.00117875,1.17049,1.81438,2.90699,2.85138,2,0.321517,10,1,1,0.000152844,7.04891e-05,0.0348369
0.00106474,1.17049,1.6943,3.21065,3.48079,2,0.306165,10,1,1,0.000181571,6.94911e-05,0.0348369
0.00121044,1.17049,1.67264,3.37032,3.79881,2,0.293581,10,1,1,0.000181571,6.94911e-05,0.0348369
0.00192698,0.861843,1.60403,3.34197,4.45986,2,0.23969,10,1,1,0.000181571,6.94911e-05,0.0348369
0.00118626,0.861843,1.82239,3.19543,4.45986,2,0.231863,10,1,1,0.000181571,6.94911e-05,0.0348369
0.000506134,0.861843,2.60645,2.90889,4.46735,2,0.231863,10,1,1,0.000181571,6.23127e-05,0.0348369
0.000506134,0.857108,3.18941,3.00389,2.68629,2,0.120397,10,1,1,0.000112368,5.7639e-05,0.0348369
0.000992296,0.857108,3.18941,3.26362,2.68629,2,0.104579,10,1,1,0.000108833,5.19583e-05,0.0348369
0.00135242,0.857108,3.18941,3.32911,2.94281,2,0.104579,10,1,1,0.000108833,5.19583e-05,0.0348369
0.00135242,0.857108,2.55199,3.07342,2.4697,2,0.104579,10,1,1,0.000108833,5.24222e-05,0.0348369
0.00135242,0.857108,3.23523,3.37521,2.49022,2,0.104579,10,1,1,0.000108833,5.24222e-05,0.0348369
0.00121585,0.857108,2.1284,3.37521,3.34834,2,0.104579,10,1,1,0.000108833,5.24222e-05,0.0348369
0.000600078,0.857108,2.9123,3.61914,3.34834,2,0.104579,10,1,1,0.000108833,5.24222e-05,0.0348369
1.04614e-05,0.857108,2.37611,3.74016,3.35492,2,0.102027,10,1,1,0.000108833,5.24222e-05,0.0348369
